FIRE_NAME,FIRE_YEAR,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,COUNTY,FIPS_CODE,FIPS_NAME
CLEAR CREEK,2010,9,Miscellaneous,198,D,38.0202778,-83.5672222,KY,011,011,Bath
CLAYLICK,2010,9,Miscellaneous,1102,F,38.1116667,-83.4936111,KY,205,205,Rowan
GREEN POND 2,2010,7,Arson,230,D,37.4572222,-84.2441667,KY,203,203,Rockcastle
GOOSE FIRE,2010,7,Arson,155,D,37.5555556,-83.8741667,KY,129,129,Lee
FISHTRAP,2010,4,Campfire,1640,F,37.8211111,-83.6711111,KY,197,197,Powell
JOHNSON COUNTY 04052010 9010,2010,5,Debris Burning,181,D,37.77776,-82.72378,KY,Johnson,115,Johnson
LEFT FORK HAMMOND,2010,5,Debris Burning,160,D,37.86327,-82.67085,KY,Johnson,115,Johnson
PRESTON'S RIDGE,2010,5,Debris Burning,120,D,37.84492,-82.6882,KY,Johnson,115,Johnson
DRY CREEK,2010,5,Debris Burning,145,D,37.33733,-82.77777,KY,Knott,119,Knott
DEADMAN'S BRANCH,2010,4,Campfire,120,D,37.26209,-82.93493,KY,Knott,119,Knott
DEMA,2010,4,Campfire,386,E,37.41344,-82.7704,KY,Knott,119,Knott
,2010,5,Debris Burning,150,D,37.4402,-82.96413,KY,Knott,119,Knott
MULLINS BRANCH,2010,5,Debris Burning,200,D,37.316,-82.8371,KY,Knott,119,Knott
TROSPER,2010,5,Debris Burning,125,D,36.7687,-83.82393,KY,Knox,121,Knox
459 FIRE,2010,5,Debris Burning,275,D,36.84797,-83.97112,KY,Knox,121,Knox
ASHBURY LANE,2010,4,Campfire,130,D,37.91971,-82.7213,KY,Lawrence,127,Lawrence
BIG LAUREL,2010,5,Debris Burning,145,D,37.96003,-82.5547,KY,Lawrence,127,Lawrence
STRATTON FORK # 3,2010,5,Debris Burning,200,D,37.0627,-83.4303,KY,Leslie,131,Leslie
LEWIS CREEK FIRE,2010,5,Debris Burning,120,D,36.98934,-83.2986,KY,Leslie,131,Leslie
FORESTER #2,2010,5,Debris Burning,275,D,36.82119,-83.5855,KY,Bell,013,Bell
,2010,5,Debris Burning,135,D,36.86918,-83.55804,KY,Bell,013,Bell
,2010,5,Debris Burning,110,D,36.80037,-83.5763,KY,Bell,013,Bell
SIM'S FORK,2010,9,Miscellaneous,125,D,36.85503,-83.6057,KY,Bell,013,Bell
SOUTHEAST HAUL RD.,2010,5,Debris Burning,220,D,37.08742,-82.9672,KY,Letcher,133,Letcher
LIMBO HOLLOW,2010,5,Debris Burning,500,E,37.08263,-82.7401,KY,Letcher,133,Letcher
JEWELL RIDGE,2010,5,Debris Burning,200,D,37.01611,-83.06133,KY,Letcher,133,Letcher
LAUREL/ SR 59,2010,5,Debris Burning,300,E,38.58384,-83.28762,KY,Lewis,135,Lewis
HARRISON HOLLOW,2010,5,Debris Burning,591,E,38.58625,-83.4526,KY,Lewis,135,Lewis
,2010,9,Miscellaneous,150,D,37.29389,-88.3432,KY,Livingston,139,Livingston
OWSLEY FORK #1,2010,4,Campfire,220,D,37.55135,-84.1783,KY,Madison,151,Madison
,2010,5,Debris Burning,138,D,37.60123,-82.90683,KY,Magoffin,153,Magoffin
SPENCE BRANCH #2,2010,5,Debris Burning,217,D,37.92772,-82.57934,KY,Martin,159,Martin
TRACE FORK,2010,5,Debris Burning,200,D,37.83393,-82.62956,KY,Martin,159,Martin
WOOTEN FORK,2010,5,Debris Burning,450,E,37.84163,-82.63036,KY,Martin,159,Martin
HORSEPEN,2010,9,Miscellaneous,180,D,37.82193,-82.60567,KY,Martin,159,Martin
UPPER LONG BRANCH,2010,5,Debris Burning,567,E,37.83538,-82.63798,KY,Martin,159,Martin
LITTLE LICK,2010,5,Debris Burning,145,D,37.91966,-82.534,KY,Martin,159,Martin
GORDEN BRANCH,2010,5,Debris Burning,203,D,36.85095,-85.6134,KY,Metcalfe,169,Metcalfe
LITTLE SULFUR,2010,5,Debris Burning,133,D,36.69679,-85.57846,KY,Monroe,171,Monroe
